acc_x,acc_y,acc_z,acc_magnitude,acc_variance,temperature,temp_deviation,heart_rate,respiration_rate,activity_index,rumination_rate,hr_rolling_std,hr_rolling_range,activity_rolling_std,activity_rolling_range,movement_consistency,resp_hr_ratio,health_state,health_label
0.3299,0.1245,9.7075,9.7139,0.087558,38.49,0.11,59.0,20.6,0.5569,52.1,7.3202,33.62,0.2368,0.9236,43.8949,0.3489,0,Healthy
0.7195,-0.2438,9.7538,9.7833,0.044302,39.16,0.56,73.9,20.9,1.0196,46.4,7.1071,33.96,0.3395,1.2801,49.4186,0.2822,0,Healthy
0.0107,-0.007,9.8035,9.8035,0.000131,38.11,0.49,49.3,12.2,0.0241,19.5,3.9526,20.28,0.0137,0.0593,903.3858,0.248,3,Inactive
0.0693,0.0574,9.7935,9.7939,0.002227,40.33,1.73,74.5,10.0,0.1432,21.0,18.393,80.8,0.2499,1.0589,203.5184,0.1339,1,Sick
-0.02,-0.4663,9.9519,9.9628,0.023136,38.93,0.33,63.4,24.0,0.6283,54.6,6.0109,27.74,0.2536,0.9653,45.2076,0.3788,0,Healthy
0.5826,-0.0665,9.9126,9.93,0.00305,40.86,2.26,103.4,38.3,0.7517,24.7,14.6278,58.69,0.2906,1.194,206.9509,0.3701,1,Sick
-0.0122,0.0101,9.8108,9.8108,0.000114,38.26,0.34,45.7,12.6,0.0232,8.0,4.399,17.11,0.0175,0.0637,775.1898,0.2758,3,Inactive
0.2315,-0.2002,10.151,10.1556,0.296518,38.66,0.06,95.5,42.7,0.7727,26.5,10.312,48.0,0.7205,3.0993,21.6876,0.447,2,Stressed
0.1038,-0.0586,10.2982,10.2989,0.074807,38.61,0.01,65.5,19.1,0.6506,60.7,6.225,24.35,0.2491,1.1021,43.6312,0.2922,0,Healthy
-0.0368,0.8725,9.6215,9.6611,0.079307,39.23,0.63,95.7,36.5,1.0978,38.1,8.4026,30.1,0.58,2.0943,25.4212,0.3818,2,Stressed
0.02,0.0115,9.8217,9.8218,8.4e-05,37.61,0.99,49.0,12.8,0.0432,26.5,4.3288,17.33,0.0201,0.0799,1016.0687,0.2616,3,Inactive
0.7976,0.7362,10.8069,10.8612,0.427706,39.32,0.72,79.7,42.4,2.5307,23.9,10.5039,43.25,0.7334,2.6914,20.3308,0.5316,2,Stressed
0.0404,-0.0498,9.9077,9.9079,0.002136,40.81,2.21,70.7,9.7,0.1879,7.3,18.5147,64.1,0.3009,1.728,207.7529,0.1378,1,Sick
0.3787,0.2359,9.5115,9.522,0.084429,38.32,0.28,64.2,23.3,0.9131,61.7,7.0814,28.82,0.2672,1.1758,38.5147,0.3625,0,Healthy
0.0165,0.0276,9.8045,9.8046,0.000139,37.86,0.74,44.3,10.1,0.0496,23.4,3.5789,15.11,0.0184,0.0849,851.4241,0.2287,3,Inactive
0.0464,-0.0168,9.7824,9.7826,0.000845,40.63,2.03,55.5,54.3,0.0907,17.8,19.8559,92.85,0.2189,1.1762,297.5525,0.9786,1,Sick
-0.2791,0.4958,9.8783,9.8946,0.402917,39.87,1.27,96.1,47.0,0.8432,31.4,9.2602,39.72,0.7295,3.2298,17.7588,0.4892,2,Stressed
-0.0006,0.018,9.8119,9.8119,5.1e-05,38.03,0.57,45.8,12.7,0.0205,28.7,3.7246,15.94,0.0165,0.0749,1034.0256,0.277,3,Inactive
-0.522,0.0632,9.8777,9.8917,0.017188,38.65,0.05,71.8,17.1,0.6529,46.8,8.5086,37.44,0.2418,0.9021,56.4486,0.2379,0,Healthy
0.0329,-0.0007,9.8028,9.8029,5.7e-05,37.93,0.67,55.1,14.6,0.0408,33.6,3.687,16.11,0.0146,0.0642,903.2993,0.2648,3,Inactive
0.6362,0.1169,9.6791,9.7007,0.068241,38.75,0.15,80.2,32.6,0.884,64.6,7.9298,31.21,0.2625,0.9982,42.0813,0.4059,0,Healthy
-0.0717,-0.4119,9.6387,9.6478,0.029828,37.82,0.78,66.6,24.5,0.6549,54.9,7.3415,28.07,0.2685,0.9927,47.5859,0.3684,0,Healthy
0.0376,-0.0117,9.7968,9.7969,9.5e-05,37.57,1.03,46.6,12.6,0.0626,14.6,4.2042,15.47,0.0136,0.054,965.3317,0.2709,3,Inactive
-0.0611,0.0147,9.851,9.8512,0.003072,40.21,1.61,90.5,40.6,0.1168,4.4,14.9587,61.51,0.1833,0.8772,192.7764,0.4481,1,Sick
0.7511,1.3911,9.6804,9.8087,0.201454,39.14,0.54,106.7,45.8,2.2718,23.6,11.7747,49.88,0.7873,2.9093,29.0565,0.4292,2,Stressed
0.6745,0.4302,9.9657,9.9978,0.046629,39.15,0.55,114.4,38.8,1.2605,27.9,7.0358,31.41,0.8416,3.1764,22.7625,0.3395,2,Stressed
-1.2252,0.7426,9.4267,9.535,0.034419,39.69,1.09,93.4,47.3,2.3511,27.9,8.8898,32.0,0.7999,3.2228,26.0209,0.5057,2,Stressed
0.2617,0.4586,9.6874,9.7018,0.024611,38.81,0.21,66.3,18.7,0.8429,52.7,4.5841,17.66,0.2858,0.9985,56.8531,0.2822,0,Healthy
-0.9448,-0.2922,9.8458,9.8953,0.004706,40.36,1.76,82.2,39.4,1.2728,23.5,17.1019,74.31,0.2632,1.212,174.1109,0.48,1,Sick
0.4842,0.3815,9.6582,9.6779,0.017142,39.01,0.41,63.9,22.4,1.0175,33.2,6.8638,29.84,0.2819,1.1281,57.2295,0.3512,0,Healthy
0.0355,-0.1127,9.9514,9.9521,0.019217,38.51,0.09,65.0,26.3,0.2897,58.3,6.9413,25.33,0.3404,1.2923,49.9217,0.4051,0,Healthy
0.2075,0.1265,9.7388,9.7418,0.00212,40.94,2.34,78.1,41.7,0.4052,23.0,17.2306,67.19,0.4071,2.0749,184.4932,0.5334,1,Sick
0.0653,1.2085,10.0373,10.11,0.204874,39.45,0.85,106.1,43.2,1.501,21.2,8.7409,35.38,0.7401,3.0681,23.0406,0.407,2,Stressed
-0.0048,0.0078,9.8199,9.8199,0.000108,37.93,0.67,53.2,12.9,0.0224,21.2,3.6103,13.84,0.0223,0.0864,833.8812,0.2426,3,Inactive
0.0875,0.0009,9.7305,9.7309,0.039818,38.32,0.28,64.4,23.6,0.1678,64.0,7.2541,33.88,0.3755,1.4362,41.9964,0.3662,0,Healthy
0.1014,-0.0001,9.8651,9.8656,0.001897,37.17,1.43,82.9,32.5,0.1567,8.8,17.4185,85.67,0.3369,1.5497,170.3262,0.3928,1,Sick
-0.081,0.4208,10.0885,10.0976,0.056967,38.68,0.08,59.9,28.9,0.7803,53.6,6.2865,23.95,0.3413,1.7371,48.7888,0.4825,0,Healthy
0.0318,0.0327,9.8205,9.8206,0.000663,37.32,1.28,83.0,11.0,0.075,14.9,19.7427,92.03,0.2153,0.9576,233.5613,0.1331,1,Sick
-0.8018,-0.5701,9.3407,9.3923,0.205921,39.2,0.6,96.1,47.7,1.8413,31.9,10.6789,45.39,0.8404,3.7394,23.1189,0.4963,2,Stressed
-0.0217,0.0113,9.9069,9.9069,0.002975,36.73,1.87,129.2,32.2,0.1298,0.0,21.7145,91.57,0.1874,0.8293,199.1,0.2494,1,Sick
0.006,-0.0042,9.8142,9.8142,0.000139,38.0,0.6,51.0,11.4,0.0144,21.3,3.5884,15.11,0.0193,0.0849,795.4196,0.2232,3,Inactive
-0.0386,0.7379,10.2543,10.2809,0.272103,39.11,0.51,88.4,35.2,1.2209,39.8,9.6028,26.17,0.5805,1.7465,19.0839,0.3982,2,Stressed
1.3049,0.5621,10.4742,10.5702,0.166433,39.16,0.56,96.1,49.8,2.5312,16.2,7.6887,32.75,0.6178,2.5496,26.7227,0.518,2,Stressed
1.1554,0.6005,9.8133,9.8993,0.333088,39.43,0.83,106.2,30.1,1.7592,32.0,10.9576,42.54,0.5266,1.9505,23.2123,0.2835,2,Stressed
0.41,0.0475,9.689,9.6978,0.037503,38.59,0.01,60.9,20.1,0.5786,71.6,4.0773,19.11,0.317,1.2122,43.8708,0.33,0,Healthy
-1.1476,1.0145,10.1757,10.2903,0.084315,39.77,1.17,102.0,42.1,2.5278,31.8,9.5574,37.06,0.5783,2.201,24.0329,0.4124,2,Stressed
0.0325,0.0156,9.8072,9.8072,3.1e-05,37.92,0.68,51.0,14.2,0.0509,23.8,3.4355,13.67,0.0142,0.056,945.6016,0.2786,3,Inactive
0.1489,0.0671,9.7996,9.8009,0.004712,40.5,1.9,86.1,60.0,0.2264,17.0,17.8598,68.53,0.4081,2.0749,183.3268,0.6965,1,Sick
0.0198,0.0369,9.8335,9.8336,0.0002,38.08,0.52,43.6,13.8,0.0802,18.3,3.4946,14.15,0.0161,0.0723,718.0644,0.3174,3,Inactive
0.3753,0.3884,9.7733,9.7883,0.021553,38.35,0.25,58.0,27.1,0.8004,58.1,6.903,27.29,0.2901,1.1229,52.2991,0.4677,0,Healthy
0.0049,-0.0182,9.8018,9.8018,8.3e-05,38.11,0.49,52.2,11.7,0.0313,17.9,4.3214,16.22,0.0169,0.0606,1041.3414,0.2233,3,Inactive
-0.0114,-0.0036,9.8066,9.8066,0.000102,37.9,0.7,46.0,13.0,0.0184,21.2,4.1526,16.26,0.0177,0.0764,931.2678,0.2825,3,Inactive
0.6994,0.7022,10.8097,10.8551,0.215532,39.63,1.03,100.9,39.3,2.4013,28.5,9.2188,40.89,0.6273,2.3486,20.6085,0.3894,2,Stressed
0.0135,0.041,9.909,9.9091,0.003343,40.35,1.75,72.4,13.3,0.1536,16.9,15.5852,53.82,0.4596,2.0943,178.3722,0.183,1,Sick
0.0428,-0.0186,9.8012,9.8013,0.000169,37.65,0.95,47.1,14.3,0.0702,11.4,3.6058,13.84,0.0202,0.0629,843.5832,0.3033,3,Inactive
0.3253,-0.2546,10.0924,10.1009,0.015263,38.35,0.25,58.0,27.7,0.8623,60.5,8.4838,37.44,0.2695,0.9209,51.9013,0.4773,0,Healthy
0.6952,-0.5245,9.8577,9.8961,0.005243,40.33,1.73,89.9,59.5,1.2674,8.0,13.8254,65.45,0.3179,1.2549,168.128,0.6615,1,Sick
-0.015,-0.004,9.8306,9.8306,0.000136,37.55,1.05,50.7,12.9,0.0396,16.3,3.3386,13.62,0.0193,0.097,839.2711,0.2536,3,Inactive
0.8715,0.1028,10.747,10.7827,0.26236,39.58,0.98,117.4,35.4,1.9113,43.7,9.7362,37.71,0.7478,3.8237,16.865,0.3017,2,Stressed
0.4328,0.1726,9.6,9.6113,0.070464,39.51,0.91,94.4,44.0,0.8155,37.9,8.7737,40.09,0.5739,2.0802,27.8417,0.4665,2,Stressed
0.3613,0.3723,10.0354,10.0488,0.06404,39.71,1.11,111.6,47.9,0.9589,32.1,10.0153,37.06,0.5638,2.2003,24.3985,0.4289,2,Stressed
0.157,0.468,10.2655,10.2774,0.185498,38.61,0.01,104.4,39.2,1.0805,36.2,10.4829,42.88,0.7278,2.7634,22.0852,0.375,2,Stressed
1.1542,0.3789,9.1095,9.1902,0.332198,40.14,1.54,82.8,37.1,2.2335,21.5,11.5406,43.67,0.8784,4.1134,19.017,0.4481,2,Stressed
0.0389,-0.0267,9.4051,9.4052,0.246355,38.46,0.14,94.5,44.5,0.4705,33.6,10.1972,37.66,0.5652,1.9658,21.2931,0.4709,2,Stressed
-0.0503,-0.036,9.8806,9.8808,0.00525,39.96,1.36,121.9,32.8,0.157,24.3,16.0587,76.45,0.2701,1.1917,161.2434,0.2689,1,Sick
0.017,-0.01,9.87,9.8701,0.003563,40.17,1.57,82.7,44.2,0.0871,16.7,15.7685,61.06,0.3569,1.2046,195.191,0.5336,1,Sick
0.0063,0.0249,9.8166,9.8166,0.000162,38.08,0.52,50.9,12.8,0.0378,33.6,4.8276,20.87,0.0184,0.0662,806.8825,0.2519,3,Inactive
-0.0092,0.0231,9.7584,9.7584,0.029446,38.61,0.01,65.7,28.8,0.0839,51.5,6.6202,24.35,0.254,1.1021,47.1012,0.4379,0,Healthy
0.4971,0.5944,9.7504,9.7812,0.039402,38.3,0.3,56.7,15.2,1.1511,59.1,8.8473,36.78,0.2707,1.1048,47.0816,0.2673,0,Healthy
0.289,0.2585,10.0831,10.0906,0.048134,38.84,0.24,61.5,20.5,0.8206,61.8,7.058,29.4,0.2716,1.1307,55.5306,0.3335,0,Healthy
-0.013,0.2145,10.5662,10.5684,0.289198,39.83,1.23,97.7,45.5,0.9836,42.1,9.2393,36.94,0.7323,3.121,18.6918,0.4657,2,Stressed
0.029,-0.0011,9.8088,9.8089,0.00016,37.61,0.99,47.6,13.8,0.0312,23.4,3.8301,19.8,0.0189,0.069,806.8505,0.2903,3,Inactive
0.0247,-0.0125,9.8454,9.8454,0.000852,40.75,2.15,108.9,44.2,0.0726,13.5,20.4959,78.21,0.4325,1.4414,215.5703,0.406,1,Sick
0.0422,0.523,9.8115,9.8255,0.079581,38.94,0.34,86.7,48.2,0.5668,36.3,8.889,32.06,0.7929,3.5778,22.3318,0.5561,2,Stressed
0.3189,0.1685,9.869,9.8756,0.074662,38.96,0.36,61.0,24.6,0.5464,46.2,7.3357,27.29,0.2586,1.0351,43.2309,0.4036,0,Healthy
-0.0171,0.019,9.8078,9.8079,5.9e-05,38.21,0.39,48.9,16.7,0.0382,9.6,3.687,15.26,0.0183,0.0647,957.5045,0.3404,3,Inactive
0.0479,0.0059,9.8148,9.8149,0.00012,37.76,0.84,47.8,14.2,0.0586,16.0,4.4169,15.1,0.0149,0.0575,838.941,0.2966,3,Inactive
0.0368,0.0242,10.0774,10.0775,0.035117,38.41,0.19,69.0,15.6,0.3285,58.5,5.6147,23.55,0.3288,1.2317,49.7106,0.2264,0,Healthy
-0.2445,1.0514,9.6945,9.7544,0.148081,40.03,1.43,106.3,54.1,1.4114,46.8,11.4974,49.88,0.7362,2.9093,26.2693,0.5086,2,Stressed
0.0495,0.1364,9.8678,9.8689,0.028381,38.45,0.15,62.5,22.1,0.2438,54.2,5.6702,24.88,0.282,1.0219,55.5046,0.3536,0,Healthy
-0.0054,-0.0058,9.7938,9.7939,7.3e-05,37.84,0.76,42.8,15.0,0.0273,23.8,5.2661,17.87,0.0158,0.0579,1105.8638,0.3503,3,Inactive
0.0256,0.055,9.7268,9.727,0.003757,40.16,1.56,90.7,49.1,0.1637,2.3,18.2007,72.36,0.222,1.0998,200.9604,0.542,1,Sick
0.009,-0.0031,9.8099,9.8099,0.000101,37.98,0.62,54.0,14.4,0.0123,19.1,3.9822,14.98,0.0206,0.0875,872.1563,0.2659,3,Inactive
0.1553,0.2572,10.0962,10.1007,0.049967,39.11,0.51,60.8,29.5,0.6987,51.7,5.7116,25.33,0.2291,0.9031,49.007,0.4854,0,Healthy
-0.6087,0.1073,9.6149,9.6347,0.179059,38.77,0.17,101.8,36.9,0.9111,26.2,8.0444,38.2,0.4814,1.8039,21.9532,0.3625,2,Stressed
0.031,0.0277,9.815,9.8151,5.5e-05,37.68,0.92,49.7,12.4,0.0637,22.0,4.0646,15.47,0.0147,0.0509,959.3087,0.2488,3,Inactive
0.5465,-0.1215,10.1515,10.1669,0.037561,38.56,0.04,60.4,24.4,1.0095,59.1,7.2941,27.72,0.2962,0.9405,49.3024,0.4042,0,Healthy
0.6453,0.0458,9.7572,9.7787,0.001405,36.78,1.82,112.4,48.9,0.7439,10.4,21.9154,75.4,0.1699,0.762,215.552,0.4353,1,Sick
1.2025,0.7324,9.7093,9.8109,0.431782,39.68,1.08,106.8,33.1,2.0356,25.2,9.3642,39.27,0.766,3.0772,17.3295,0.3102,2,Stressed
-0.0187,-0.0054,9.7903,9.7904,0.001918,36.77,1.83,66.1,10.2,0.0438,0.1,17.6959,70.78,0.3028,1.4051,208.9825,0.1536,1,Sick
-0.0251,-0.0028,9.8075,9.8076,5.8e-05,37.92,0.68,51.3,13.1,0.0303,23.8,3.7259,16.11,0.012,0.0356,1012.229,0.2556,3,Inactive
0.0264,0.0699,9.8119,9.8122,0.002457,40.39,1.79,91.5,47.3,0.0983,16.1,17.0762,70.65,0.2643,1.3055,200.3044,0.5166,1,Sick
-0.0225,-0.0073,9.8074,9.8074,0.000119,37.96,0.64,49.3,12.3,0.0324,24.4,5.2489,23.97,0.0145,0.0569,868.8152,0.2501,3,Inactive
-0.135,-0.0332,9.4514,9.4524,0.05445,38.18,0.42,60.0,26.7,0.5268,75.3,6.0237,25.33,0.2308,0.9031,50.5324,0.4449,0,Healthy
0.8863,0.6811,9.4644,9.5302,0.414019,39.7,1.1,105.0,38.2,1.913,33.5,9.3582,36.77,0.8516,3.4825,20.9888,0.3635,2,Stressed
0.6484,-0.8178,9.5201,9.5771,0.216185,39.16,0.56,110.2,35.7,1.7561,40.6,7.4944,30.93,0.5717,2.0687,22.3187,0.3241,2,Stressed
-0.2886,0.1521,9.8289,9.8343,0.002126,41.35,2.75,108.3,44.2,0.4595,14.8,19.4412,83.2,0.3755,1.6191,182.3438,0.408,1,Sick
0.4154,0.4172,10.0337,10.051,0.033985,38.8,0.2,66.4,24.2,1.0563,66.1,7.4997,33.88,0.3387,1.4362,47.6,0.3642,0,Healthy
-0.0409,0.0293,9.883,9.8831,0.003778,40.69,2.09,91.0,49.0,0.1432,10.9,20.4892,87.42,0.3845,1.442,169.814,0.5383,1,Sick
0.4786,1.0423,10.7099,10.7711,0.454919,39.59,0.99,98.8,41.3,2.4207,37.7,7.6607,31.37,0.8892,3.407,20.1768,0.4178,2,Stressed
0.7221,1.0968,9.8018,9.8894,0.116017,39.13,0.53,99.5,49.7,1.8271,5.5,8.4082,35.38,0.779,3.0681,22.2229,0.4991,2,Stressed
0.9415,1.2825,9.6124,9.7432,0.179744,38.78,0.18,120.8,40.7,2.4216,14.5,11.1468,40.22,0.6664,2.9899,25.1441,0.3373,2,Stressed
0.1075,0.0454,9.8325,9.8332,0.001121,40.15,1.55,129.1,48.3,0.1754,20.5,20.2106,83.27,0.2321,1.3515,256.6669,0.3739,1,Sick
1.2313,-0.6574,9.8473,9.9458,0.004194,39.83,1.23,80.9,53.4,1.9261,9.7,15.8117,59.71,0.4129,1.8799,175.8981,0.6598,1,Sick
0.2948,-0.1395,9.806,9.8115,0.021895,38.78,0.18,73.1,19.4,0.4382,65.1,6.9621,27.29,0.2803,1.1229,55.732,0.2655,0,Healthy
0.4916,0.2628,9.8322,9.848,0.035038,38.29,0.31,61.8,18.7,0.7766,70.0,5.6988,26.45,0.2352,0.8678,49.596,0.3031,0,Healthy
0.0449,-0.0857,9.8179,9.8184,0.002545,40.41,1.81,73.2,56.8,0.1385,23.1,19.0992,96.17,0.1982,1.1386,209.4152,0.7765,1,Sick
0.021,0.0049,9.8221,9.8221,0.000158,37.91,0.69,51.9,14.2,0.0379,38.9,3.8422,19.35,0.013,0.0591,781.7112,0.2729,3,Inactive
0.0212,-0.1676,9.8748,9.8763,0.052572,38.7,0.1,64.5,19.7,0.2535,62.3,6.7472,25.58,0.3087,1.2034,40.6303,0.3053,0,Healthy
0.6146,-0.3919,9.8887,9.9156,0.050263,38.88,0.28,116.2,47.2,1.0853,14.4,10.0223,38.2,0.67,3.1025,22.1977,0.4064,2,Stressed
-0.3755,0.1384,9.5634,9.5717,0.023157,38.34,0.26,72.7,24.4,0.7606,59.2,7.6209,34.38,0.2591,1.1632,62.1793,0.3355,0,Healthy
0.5879,-0.3059,9.604,9.6269,0.133005,39.17,0.57,98.5,38.0,1.0998,28.4,11.7547,51.63,0.5632,2.2666,20.4043,0.3864,2,Stressed
0.7254,0.0829,9.9394,9.9662,0.002719,36.72,1.88,100.0,48.4,0.9377,5.9,15.2758,51.23,0.2347,1.0331,194.1815,0.4841,1,Sick
0.0272,0.0121,9.8255,9.8255,0.000193,37.91,0.69,48.9,14.6,0.0547,24.2,4.0124,16.03,0.0168,0.0722,860.6037,0.2979,3,Inactive
0.5677,0.2683,9.8934,9.9133,0.149654,39.5,0.9,119.3,49.2,0.9194,27.8,11.1853,42.89,0.7232,2.4244,19.6126,0.4126,2,Stressed
1.9581,0.9881,10.0432,10.2799,0.069578,39.53,0.93,82.8,36.6,3.1793,32.8,9.2365,35.95,0.6891,2.6777,27.6277,0.4417,2,Stressed
-0.0161,0.0296,9.8155,9.8156,0.000103,38.05,0.55,50.3,13.6,0.0512,19.0,3.673,18.55,0.0186,0.0659,860.1452,0.2702,3,Inactive
0.0018,-0.0056,9.7995,9.7995,0.000192,37.84,0.76,45.3,12.5,0.018,13.9,4.1446,16.93,0.0177,0.0675,840.8121,0.2761,3,Inactive
0.0092,-0.0094,9.7991,9.7991,0.000163,38.06,0.54,50.3,15.7,0.0295,24.4,4.1394,16.43,0.0168,0.0612,929.4185,0.3114,3,Inactive
1.5083,0.3978,9.4542,9.582,0.170949,39.11,0.51,93.1,39.8,2.2619,30.7,8.7054,28.95,0.7002,2.3607,21.402,0.4278,2,Stressed
0.0506,-0.3794,9.7447,9.7522,0.02735,38.5,0.1,73.6,25.1,0.4953,53.3,6.5728,27.29,0.2575,0.9067,53.2805,0.3406,0,Healthy
0.2782,-0.054,9.7361,9.7403,0.036311,38.23,0.37,74.1,20.9,0.4061,71.4,7.3907,31.26,0.3275,1.2923,46.9055,0.2817,0,Healthy
0.8211,-1.179,9.2479,9.3588,0.23236,39.23,0.63,105.4,34.5,2.5623,15.3,5.647,22.51,0.6891,2.8011,22.0469,0.3275,2,Stressed
-0.0909,0.0647,9.8137,9.8144,0.000813,40.23,1.63,114.6,52.0,0.1593,16.9,19.6512,78.81,0.1842,0.8666,182.2576,0.4533,1,Sick
-0.0159,0.026,9.8242,9.8243,0.000141,38.17,0.43,44.5,16.2,0.0561,22.7,4.6031,18.74,0.0176,0.0639,924.6865,0.3637,3,Inactive
0.0009,0.2837,10.6915,10.6952,0.221957,39.37,0.77,94.7,43.4,1.1661,8.4,8.1894,35.03,0.8253,3.0495,23.7718,0.4584,2,Stressed
0.3347,-0.1086,9.8333,9.8396,0.036277,38.34,0.26,76.2,26.8,0.4667,50.2,5.7501,22.55,0.3456,1.2603,50.6799,0.3521,0,Healthy
0.0559,0.0925,9.9788,9.9794,0.125178,39.51,0.91,116.0,39.9,0.3172,39.7,9.9528,37.9,0.5753,2.4181,21.8654,0.3436,2,Stressed
0.0275,0.0276,9.7994,9.7995,7.2e-05,38.09,0.51,50.9,17.1,0.0657,25.2,3.9615,17.33,0.0197,0.0799,887.4848,0.335,3,Inactive
-0.48,0.364,9.9038,9.9221,0.347334,38.58,0.02,88.6,37.9,0.9378,14.0,10.2514,48.0,0.6401,2.2124,23.7544,0.4273,2,Stressed
0.6621,0.4254,10.0722,10.1029,0.045368,38.46,0.14,71.5,25.7,1.3498,72.9,6.5608,23.48,0.28,1.0475,43.7872,0.3602,0,Healthy
1.3576,0.8284,9.1827,9.3194,0.158198,40.04,1.44,101.5,42.8,2.8133,17.5,13.8808,48.62,0.6819,2.5557,21.4071,0.4214,2,Stressed
-0.0076,-0.0058,9.8522,9.8522,0.00175,36.7,1.9,122.4,45.4,0.0555,0.0,17.549,69.58,0.1831,1.0016,245.3742,0.3708,1,Sick
0.3234,0.2526,9.6428,9.6515,0.033606,38.5,0.1,74.4,24.4,0.7432,62.7,8.6962,35.17,0.2823,0.997,56.5876,0.3274,0,Healthy
0.7967,0.9464,9.249,9.3314,0.152847,39.7,1.1,85.5,40.5,2.3041,34.3,10.372,44.2,0.6706,3.1545,17.6697,0.4733,2,Stressed
0.0292,0.0136,9.8229,9.8229,4.9e-05,37.94,0.66,47.7,15.9,0.0557,20.5,4.3261,18.61,0.016,0.0667,852.8201,0.333,3,Inactive
0.0764,0.1305,9.8505,9.8517,0.00103,37.16,1.44,130.9,14.2,0.2474,26.1,17.5162,75.64,0.2115,0.953,164.4774,0.1088,1,Sick
0.5644,-0.4914,9.6981,9.7269,0.032944,38.42,0.18,60.8,28.4,1.1677,61.8,6.62,25.9,0.238,1.0128,51.0717,0.4664,0,Healthy
0.1123,0.049,9.7816,9.7824,0.002897,37.29,1.31,94.1,25.1,0.1897,0.0,18.1232,69.97,0.3031,1.5432,215.3835,0.2665,1,Sick
0.4288,0.503,9.9291,9.9511,0.005628,36.81,1.79,89.7,40.9,1.0509,11.1,17.7562,78.43,0.2943,1.0323,189.531,0.4554,1,Sick
-0.0221,0.0461,9.8197,9.8198,0.002973,40.93,2.33,97.1,31.9,0.0779,5.1,20.506,83.59,0.4125,1.442,176.8279,0.3281,1,Sick
-0.0107,-0.017,9.7885,9.7885,7.4e-05,38.21,0.39,48.3,18.6,0.0492,24.8,2.7995,12.44,0.0189,0.077,899.8561,0.3859,3,Inactive
0.0873,-0.1378,9.9168,9.9182,0.043573,37.97,0.63,63.7,22.2,0.332,53.3,7.0668,32.74,0.3196,1.5809,56.1931,0.3484,0,Healthy
0.035,0.0263,9.7553,9.7554,0.002564,40.34,1.74,125.9,40.1,0.116,11.6,19.4248,80.21,0.1195,0.5659,239.2244,0.3183,1,Sick
0.0689,-0.0064,9.7725,9.7727,0.00272,40.77,2.17,78.8,39.4,0.1129,15.9,18.4674,72.58,0.3628,1.6932,228.3973,0.5003,1,Sick
0.4133,0.5613,9.5826,9.6079,0.039418,39.02,0.42,66.3,27.6,1.202,58.3,5.9566,27.43,0.3207,1.1404,56.6065,0.4165,0,Healthy
1.0605,1.0775,10.1357,10.2478,0.154561,39.97,1.37,81.7,40.1,2.4637,36.3,11.7038,50.07,0.6987,2.6253,34.4083,0.4911,2,Stressed
-0.055,-0.0745,9.9055,9.906,0.003746,40.5,1.9,94.0,59.6,0.225,27.0,21.9449,106.85,0.2645,1.1344,191.6214,0.6336,1,Sick
0.0162,-0.0036,9.8179,9.8179,0.000114,37.74,0.86,51.1,13.9,0.0277,19.5,3.9104,13.59,0.0198,0.0792,912.1797,0.2718,3,Inactive
-0.4145,-0.4379,9.7072,9.7259,0.088262,39.3,0.7,82.3,52.0,0.9553,54.4,11.9027,48.83,0.703,2.6408,21.5577,0.6319,2,Stressed
0.0158,0.1256,9.8618,9.8626,0.001016,40.68,2.08,86.6,9.6,0.1932,16.4,18.3587,85.97,0.0814,0.4517,198.2905,0.1106,1,Sick
0.9933,0.5892,9.8296,9.8972,0.244583,39.5,0.9,94.0,47.2,1.602,10.3,7.9419,30.45,0.6789,2.5858,20.2444,0.5017,2,Stressed
0.0514,0.0327,9.8076,9.8077,0.000156,38.09,0.51,47.7,13.3,0.0866,21.5,4.1174,16.95,0.0196,0.0801,1037.0378,0.2777,3,Inactive
0.1651,0.1144,9.7469,9.749,0.015997,38.58,0.02,58.1,24.8,0.3426,61.1,7.6632,29.6,0.2296,0.9255,52.7223,0.4265,0,Healthy
1.0602,0.8983,10.5439,10.635,0.366313,39.49,0.89,83.5,50.7,2.6923,31.3,11.075,43.67,0.8848,4.1134,19.8617,0.6072,2,Stressed
-0.0595,0.4138,9.8697,9.8785,0.024296,39.06,0.46,54.3,24.0,0.533,57.7,6.8225,25.9,0.213,0.8998,52.3691,0.4419,0,Healthy
-0.0989,-0.0328,9.8757,9.8762,0.004583,37.28,1.32,63.0,46.1,0.1974,17.0,18.7134,60.35,0.3321,1.5816,206.9061,0.7319,1,Sick
0.1282,0.1989,9.9248,9.9276,0.095834,39.57,0.97,88.4,36.4,0.4419,30.2,9.6474,33.54,0.6751,3.3101,23.4305,0.4118,2,Stressed
0.0667,0.0368,10.1896,10.1899,0.031325,38.57,0.03,60.2,24.4,0.4831,49.8,6.4776,26.67,0.3431,1.2584,41.6021,0.4056,0,Healthy
0.0083,-0.0124,9.7955,9.7955,0.000129,37.54,1.06,49.2,14.8,0.0352,14.4,3.8519,17.65,0.0175,0.069,907.6825,0.3003,3,Inactive
-0.0181,0.008,9.8065,9.8065,0.000235,38.24,0.36,46.0,13.5,0.0297,17.9,4.0638,17.48,0.0166,0.0589,806.0042,0.2934,3,Inactive
